species,chr_type,ne_ratio,se
S. AdRX,B,0.8541401408788719,0.030995720346796478
S. AdRX,b,0.1119873997013162,0.014830322435059278
S. AdRX,MT,0.8123522832339227,0.12329945086319567
S. macdonaghi,B,0.8484244712332969,0.007325509018521631
S. macdonaghi,b,0.051796634922728575,0.004235833841163522
S. macdonaghi,MT,0.834379505786698,0.05569607548751769
S. richteri,B,0.9458264226725214,0.01480372003356496
S. richteri,b,0.20233908261209593,0.008667022038093605
S. richteri,MT,0.5675286875512081,0.025662414942960118
