species,chr_type,ne_ratio,se
Bonobo,X,0.6511483578452175,0.004133229363196887
Bonobo,Y,0.1721783480556976,0.007211450623808164
Bonobo,MT,0.22186108939451754,0.06436565493126302
Chimpanzee,X,0.6876931330840423,0.004504154762267578
Chimpanzee,Y,0.1007013007895452,0.0034266647100324923
Chimpanzee,MT,0.31664310439352766,0.04220238648269129
Human,X,0.6651826838544185,0.018111926082243695
Human,Y,0.13672104044485928,0.024759026746736235
Human,MT,0.3687956496746392,0.04815653450946957
